iter	RMSE
0	0.7834265365
1	0.7789889967
2	0.7757984065
3	0.7720146107
4	0.7688661937
5	0.7651641777
6	0.762073784
7	0.7592787931
8	0.7565777858
9	0.7543686819
10	0.7519042871
11	0.7501448515
12	0.7491678112
13	0.7477594253
14	0.7457256547
15	0.7437223977
16	0.7420256593
17	0.7404024136
18	0.7390792389
19	0.7377859872
20	0.7370442219
21	0.7355891191
22	0.7344440014
23	0.7322426573
24	0.7307376473
25	0.7285739051
26	0.7265019694
27	0.7251325841
28	0.7238979231
29	0.7219661509
30	0.7211075874
31	0.719096406
32	0.7178379498
33	0.7175845478
34	0.7164613298
35	0.7161735411
36	0.715441349
37	0.7143199141
38	0.713017863
39	0.7118701711
40	0.7109345557
41	0.7098534354
42	0.7084841661
43	0.7077216802
44	0.7076229097
45	0.7063600845
46	0.7048495925
47	0.7039597273
48	0.70234817
49	0.7014666166
50	0.6993970792
51	0.6986845036
52	0.6976008073
53	0.6960040246
54	0.6954130872
55	0.6938340911
56	0.6931270019
57	0.6926304824
58	0.6913237115
59	0.6909336549
60	0.690579985
61	0.6900411244
62	0.6889174601
63	0.688383911
64	0.6878688943
65	0.6868603863
66	0.6858559632
67	0.6853939344
68	0.6845200484
69	0.6837281138
70	0.68271528
71	0.6819924858
72	0.6811061767
73	0.6804242553
74	0.6793899763
75	0.6787575209
76	0.6780105389
77	0.6771669233
78	0.6765649024
79	0.6762611661
80	0.6756028599
81	0.6744708575
82	0.6731039715
83	0.6730290429
84	0.6723761783
85	0.671489966
86	0.6708928662
87	0.6693864123
88	0.6681342786
89	0.6674569186
90	0.6669530715
91	0.6660188565
92	0.6655078849
93	0.6649956024
94	0.6642494334
95	0.6638612474
96	0.6629267427
97	0.6622070255
98	0.6613883129
99	0.6611551723
100	0.6606405587
101	0.6599659527
102	0.6599345285
103	0.6592901269
104	0.6587778172
105	0.6584345836
106	0.65724646
107	0.6564561293
108	0.6553385223
109	0.6550180969
110	0.6547641652
111	0.6543841255
112	0.6540721865
113	0.6534942097
114	0.6532109892
115	0.6525337842
116	0.6515088995
117	0.6511212061
118	0.6501560561
119	0.6495200351
120	0.6486481622
121	0.6478450823
122	0.6473849152
123	0.6470722857
124	0.6465662835
125	0.6462652159
126	0.6453496668
127	0.6447919915
128	0.6441791818
129	0.6435535868
130	0.6430625522
131	0.6424306244
132	0.642245546
133	0.6421289747
134	0.6416545026
135	0.6414818548
136	0.6406784123
137	0.6397465278
138	0.6393188108
139	0.6384945321
140	0.6380752627
141	0.6377160434
142	0.6372158522
143	0.6369671431
144	0.6360973207
145	0.6358731313
146	0.6354784127
147	0.6350132351
148	0.6337103359
149	0.6331385703
150	0.6321643016
151	0.6314869926
152	0.6311692434
153	0.6304340614
154	0.6301801741
155	0.6299177452
156	0.6294772773
157	0.6282625664
158	0.6278939373
159	0.6275746507
160	0.6269378946
161	0.6263704821
162	0.6262989621
163	0.6261285887
164	0.6250765228
165	0.6247327351
166	0.6241873421
167	0.6234208048
168	0.62295458
169	0.6226877891
170	0.6221842824
171	0.6216758457
172	0.6215005214
173	0.621205282
174	0.6203979377
175	0.6195546826
176	0.6189686064
177	0.6182500809
178	0.6172503988
179	0.6166161161
180	0.6160657512
181	0.6156665327
182	0.6150947829
183	0.614028814
184	0.6136284087
185	0.6128870591
186	0.6121916228
187	0.6116405699
188	0.6108998638
189	0.610408202
190	0.6098794351
191	0.6092857377
192	0.6084466913
193	0.6082033594
194	0.6072865664
195	0.6070858263
196	0.6068427131
197	0.6058408334
198	0.605229908
199	0.604400185
200	0.6039242896
201	0.6034726889
202	0.6031085747
203	0.6026611549
204	0.6022942082
205	0.6017020618
206	0.6012884284
207	0.6006357555
208	0.6002774646
209	0.5997747864
210	0.5993346806
211	0.5989995645
212	0.5986930499
213	0.5981638757
214	0.5978337641
215	0.5973673129
216	0.5965439557
217	0.5964660625
218	0.5959787724
219	0.5956210148
220	0.5950948357
221	0.5946022993
222	0.5938899172
223	0.5934755859
224	0.5928878748
225	0.5925501159
226	0.5920183071
227	0.591884091
228	0.5911457316
229	0.5908100861
230	0.5900773423
231	0.5897716666
232	0.5895971588
233	0.5894940256
234	0.5890765325
235	0.5886436272
236	0.5878628688
237	0.5868382764
238	0.5857867369
239	0.5853731286
240	0.5848449748
241	0.5844556285
242	0.5844293297
243	0.5839963626
244	0.5835721731
245	0.5830276579
246	0.5824965056
247	0.582161034
248	0.5816801542
249	0.5815974382
250	0.5813117409
251	0.5808369014
252	0.580732791
253	0.5803236264
254	0.5801587311
255	0.579643805
256	0.579169737
257	0.5787721562
258	0.5784715306
259	0.5777175349
260	0.5775861365
261	0.5775010476
262	0.5771336093
263	0.5765448468
264	0.5762280909
265	0.5758570133
266	0.5751282276
267	0.5749920463
268	0.5749351786
269	0.5746109213
270	0.5739937032
271	0.5735649857
272	0.5734468301
273	0.5730353294
274	0.572786888
275	0.572764043
276	0.5724477755
277	0.5716922081
278	0.5711546131
279	0.5707616474
280	0.5704043002
281	0.5703017171
282	0.5698894256
283	0.569535353
284	0.5685355166
285	0.567873433
286	0.5675853671
287	0.5673971142
288	0.5665148019
289	0.5663029933
290	0.5655286754
291	0.5651848466
292	0.5647821934
293	0.5645325788
294	0.5633673848
295	0.5630238648
296	0.5628802414
297	0.5619193737
298	0.5617442375
299	0.5612103417
300	0.5611841198
301	0.5607406257
302	0.5601626169
303	0.559622751
304	0.5592768268
305	0.5588432352
306	0.5582711059
307	0.5580349569
308	0.5574429651
309	0.5570375946
310	0.5567896857
311	0.5563835582
312	0.5561355357
313	0.5557421058
314	0.5552931689
315	0.5546844512
316	0.5545142472
317	0.5540990991
318	0.5539277187
319	0.5535412293
320	0.5533135032
321	0.5529609639
322	0.5524746555
323	0.5522805743
324	0.5509863354
325	0.5508606601
326	0.5505851131
327	0.550035086
328	0.5495649457
329	0.549496482
330	0.5493247126
331	0.5489944266
332	0.548652203
333	0.5478656913
334	0.5474496027
335	0.5470062667
336	0.5467594661
337	0.5464248442
338	0.5462203141
339	0.5453076099
340	0.5450429262
341	0.5446881598
342	0.5440949921
343	0.543633406
344	0.5435412579
345	0.5434879559
346	0.542768705
347	0.5422945954
348	0.5419686467
349	0.5416368838
350	0.5411511531
351	0.540784256
352	0.5404935257
353	0.5397569408
354	0.5391665232
355	0.5383044297
356	0.537950766
357	0.5374830273
358	0.5371945053
359	0.5368592462
360	0.5362983105
361	0.5362095527
362	0.5358149467
363	0.535396981
364	0.5349215792
365	0.5346647428
366	0.5344222504
367	0.5342790818
368	0.5339399088
369	0.5335909017
370	0.5331463851
371	0.532541734
372	0.5321009915
373	0.531842688
374	0.5317647626
375	0.5311827013
376	0.5307775214
377	0.5297152311
378	0.5296313482
379	0.5291098744
380	0.5290133809
381	0.5286630232
382	0.5282801359
383	0.5274784837
384	0.5273382129
385	0.527098747
386	0.5268551797
387	0.5264147422
388	0.5259724641
389	0.5257033096
390	0.5252008938
391	0.5248655051
392	0.5247577123
393	0.5244597161
394	0.5241558225
395	0.5235608397
396	0.5233307282
397	0.5227906169
398	0.52248104
399	0.522002929
400	0.5212312283
401	0.5202693111
402	0.5199688509
403	0.5193042249
404	0.5188694743
405	0.5182979892
406	0.5182227256
407	0.5178484935
408	0.5174744303
409	0.5172043337
410	0.5170220462
411	0.5166069194
412	0.5164550773
413	0.5161646016
414	0.5156968696
415	0.5146083105
416	0.5143649418
417	0.5141621881
418	0.5139596002
419	0.5134580742
420	0.5133133259
421	0.5126598731
422	0.51235864
423	0.5119194725
424	0.5117964172
