iter	Passed	Remaining
0	23	27166
1	51	29515
2	60	23016
3	133	38336
4	141	32309
5	161	30856
6	182	29866
7	205	29314
8	223	28326
9	241	27524
10	259	26917
11	266	25280
12	268	23496
13	272	22081
14	290	21961
15	310	22006
16	335	22368
17	357	22481
18	379	22586
19	400	22632
20	405	21776
21	423	21701
22	448	21986
23	472	22173
24	492	22140
25	512	22141
26	533	22194
27	556	22281
28	579	22405
29	604	22582
30	625	22590
31	650	22723
32	669	22671
33	674	22142
34	697	22230
35	701	21699
36	722	21726
37	742	21740
38	767	21856
39	789	21909
40	809	21902
41	834	22022
42	855	22035
43	876	22021
44	878	21567
45	902	21648
46	924	21706
47	942	21636
48	962	21625
49	981	21590
50	1001	21588
51	1022	21582
52	1058	21902
53	1119	22731
54	1158	23057
55	1181	23074
56	1199	22997
57	1217	22917
58	1244	23019
59	1270	23071
60	1295	23136
61	1324	23248
62	1352	23333
63	1373	23306
64	1395	23291
65	1415	23256
66	1434	23194
67	1453	23135
68	1478	23158
69	1502	23173
70	1529	23236
71	1555	23287
72	1578	23294
73	1599	23261
74	1617	23178
75	1636	23129
76	1657	23093
77	1682	23119
78	1707	23144
79	1736	23228
80	1762	23256
81	1793	23353
82	1816	23351
83	1824	23155
84	1844	23107
85	1865	23079
86	1899	23208
87	1931	23309
88	1961	23388
89	1990	23440
90	2012	23421
91	2035	23403
92	2054	23347
93	2076	23325
94	2094	23257
95	2125	23336
96	2153	23372
97	2179	23393
98	2204	23408
99	2231	23429
100	2249	23363
101	2271	23335
102	2276	23141
103	2296	23100
104	2327	23163
105	2351	23164
106	2380	23202
107	2402	23180
108	2425	23161
109	2442	23092
110	2460	23034
111	2480	22985
112	2500	22947
113	2525	22948
114	2550	22951
115	2579	22994
116	2603	22984
117	2626	22972
118	2646	22932
119	2677	22979
120	2701	22969
121	2723	22947
122	2750	22964
123	2778	22993
124	2809	23035
125	2832	23021
126	2853	22986
127	2876	22965
128	2896	22924
129	2918	22900
130	2943	22898
131	2981	22995
132	3011	23026
133	3037	23027
134	3065	23050
135	3085	23002
136	3104	22954
137	3123	22907
138	3149	22909
139	3177	22922
140	3203	22923
141	3233	22955
142	3264	22991
143	3284	22942
144	3306	22918
145	3326	22873
146	3346	22830
147	3374	22846
148	3401	22849
149	3430	22870
150	3460	22896
151	3478	22840
152	3498	22796
153	3518	22753
154	3535	22696
155	3562	22702
156	3584	22669
157	3610	22669
158	3634	22651
159	3660	22650
160	3677	22591
161	3699	22560
162	3722	22541
163	3747	22533
164	3771	22517
165	3798	22517
166	3828	22538
167	3864	22588
168	3888	22572
169	3912	22556
170	3932	22513
171	3953	22477
172	3974	22446
173	4004	22460
174	4029	22450
175	4054	22435
176	4079	22428
177	4099	22385
178	4117	22336
179	4134	22277
180	4155	22249
181	4178	22225
182	4207	22231
183	4236	22242
184	4258	22215
185	4281	22187
186	4306	22177
187	4329	22155
188	4359	22164
189	4381	22138
190	4403	22111
191	4431	22111
192	4457	22104
193	4480	22078
194	4502	22048
195	4520	22000
196	4537	21951
197	4555	21904
198	4573	21857
199	4597	21835
200	4622	21826
201	4645	21800
202	4671	21791
203	4695	21773
204	4714	21732
205	4732	21685
206	4752	21651
207	4769	21599
208	4786	21551
209	4806	21514
210	4822	21462
211	4843	21429
212	4865	21403
213	4889	21384
214	4917	21383
215	4936	21344
216	4955	21305
217	4972	21259
218	4990	21217
219	5011	21186
220	5043	21199
221	5077	21225
222	5103	21213
223	5122	21174
224	5141	21135
225	5158	21088
226	5176	21049
227	5197	21018
228	5219	20991
229	5246	20985
230	5273	20977
231	5298	20965
232	5323	20950
233	5340	20905
234	5360	20870
235	5379	20833
236	5396	20789
237	5423	20782
238	5451	20778
239	5474	20759
240	5501	20751
241	5529	20745
242	5558	20745
243	5584	20734
244	5604	20703
245	5626	20676
246	5650	20658
247	5669	20620
248	5692	20597
249	5711	20562
250	5730	20526
251	5751	20494
252	5772	20466
253	5792	20433
254	5811	20398
255	5833	20371
256	5851	20333
257	5867	20286
258	5887	20252
259	5905	20215
260	5926	20186
261	5949	20165
262	5970	20134
263	5990	20104
264	6009	20070
265	6036	20061
266	6060	20044
267	6090	20043
268	6111	20015
269	6133	19989
270	6159	19978
271	6185	19967
272	6219	19979
273	6256	20002
274	6288	20010
275	6319	20013
276	6348	20007
277	6371	19986
278	6395	19967
279	6415	19932
280	6435	19900
281	6454	19866
282	6476	19840
283	6508	19847
284	6538	19844
285	6565	19833
286	6587	19806
287	6611	19789
288	6639	19779
289	6662	19757
290	6687	19741
291	6710	19718
292	6737	19705
293	6764	19696
294	6793	19688
295	6824	19688
296	6844	19658
297	6862	19620
298	6880	19582
299	6901	19553
300	6925	19533
301	6947	19509
302	6974	19497
303	6997	19472
304	7024	19460
305	7045	19433
306	7064	19399
307	7082	19361
308	7098	19320
309	7120	19294
310	7142	19269
311	7167	19249
312	7188	19223
313	7213	19204
314	7235	19181
315	7259	19159
316	7285	19144
317	7305	19113
318	7325	19084
319	7352	19069
320	7376	19049
321	7398	19025
322	7424	19009
323	7451	18995
324	7470	18962
325	7489	18930
326	7508	18897
327	7525	18858
328	7544	18826
329	7569	18807
330	7593	18788
331	7617	18768
332	7645	18759
333	7672	18743
334	7695	18721
335	7726	18717
336	7748	18693
337	7772	18671
338	7800	18660
339	7824	18641
340	7850	18624
341	7874	18604
342	7894	18573
343	7917	18551
344	7937	18520
345	7964	18507
346	7986	18482
347	8017	18476
348	8046	18466
349	8068	18443
350	8088	18412
351	8110	18387
352	8131	18358
353	8150	18327
354	8177	18313
355	8201	18292
356	8221	18263
357	8240	18230
358	8266	18213
359	8289	18190
360	8311	18166
361	8333	18139
362	8354	18112
363	8377	18090
364	8405	18076
365	8427	18052
366	8455	18040
367	8478	18017
368	8499	17990
369	8522	17966
370	8541	17933
371	8561	17906
372	8585	17883
373	8611	17868
374	8636	17849
375	8666	17839
376	8696	17831
377	8715	17800
378	8735	17770
379	8773	17777
380	8795	17753
381	8818	17729
382	8842	17707
383	8865	17685
384	8891	17667
385	8922	17659
386	8948	17642
387	8974	17625
388	9001	17610
389	9028	17593
390	9060	17588
391	9089	17575
392	9116	17559
393	9136	17530
394	9155	17499
395	9172	17465
396	9197	17446
397	9222	17426
398	9244	17399
399	9269	17380
400	9291	17355
401	9316	17334
402	9339	17312
403	9360	17283
404	9389	17271
405	9411	17246
406	9435	17225
407	9466	17216
408	9495	17203
409	9523	17188
410	9553	17176
411	9578	17157
412	9600	17131
413	9617	17098
414	9638	17070
415	9663	17051
416	9690	17033
417	9714	17012
418	9741	16995
419	9763	16969
420	9782	16938
421	9800	16906
422	9822	16881
423	9847	16861
424	9870	16838
425	9893	16814
426	9914	16787
427	9941	16770
428	9966	16750
429	9989	16726
430	10008	16696
431	10032	16674
432	10054	16648
433	10079	16629
434	10106	16611
435	10129	16588
436	10153	16566
437	10170	16533
438	10191	16505
439	10211	16476
440	10231	16449
441	10251	16421
442	10274	16397
443	10298	16376
444	10324	16356
445	10349	16335
446	10375	16316
447	10394	16288
448	10412	16256
449	10433	16230
450	10453	16201
451	10474	16175
452	10501	16157
453	10532	16146
454	10561	16131
455	10586	16112
456	10613	16093
457	10637	16072
458	10658	16045
459	10680	16021
460	10707	16002
461	10734	15985
462	10762	15968
463	10784	15944
464	10801	15911
465	10819	15881
466	10840	15854
467	10860	15827
468	10884	15804
469	10911	15787
470	10939	15769
471	10964	15749
472	10987	15725
473	11004	15694
474	11032	15677
475	11053	15651
476	11079	15632
477	11106	15614
478	11131	15593
479	11158	15574
480	11179	15549
481	11196	15516
482	11212	15484
483	11230	15453
484	11248	15422
485	11271	15399
486	11295	15377
487	11323	15361
488	11348	15340
489	11376	15323
490	11396	15295
491	11417	15269
492	11437	15242
493	11456	15213
494	11473	15182
495	11495	15157
496	11523	15141
497	11542	15111
498	11561	15083
499	11586	15062
500	11623	15057
501	11641	15027
502	11658	14996
503	11679	14970
504	11700	14944
505	11724	14921
506	11746	14897
507	11775	14881
508	11803	14864
509	11825	14839
510	11846	14813
511	11864	14784
512	11882	14754
513	11899	14724
514	11923	14701
515	11947	14679
516	11973	14659
517	11998	14639
518	12022	14616
519	12040	14586
520	12060	14559
521	12081	14534
522	12102	14508
523	12125	14486
524	12148	14463
525	12175	14443
526	12199	14421
527	12226	14403
528	12251	14382
529	12275	14360
530	12292	14329
531	12311	14301
532	12332	14276
533	12359	14257
534	12387	14240
535	12416	14223
536	12440	14201
537	12460	14174
538	12476	14143
539	12494	14113
540	12514	14087
541	12536	14063
542	12563	14044
543	12590	14024
544	12618	14007
545	12639	13982
546	12661	13957
547	12681	13931
548	12706	13910
549	12735	13893
550	12758	13869
551	12783	13848
552	12806	13825
553	12828	13801
554	12858	13785
555	12876	13756
556	12893	13726
557	12914	13701
558	12934	13674
559	12961	13656
560	12984	13633
561	13014	13616
562	13040	13595
563	13064	13574
564	13086	13550
565	13106	13523
566	13125	13496
567	13144	13468
568	13163	13440
569	13182	13413
570	13203	13388
571	13222	13360
572	13251	13343
573	13277	13323
574	13304	13304
575	13327	13280
576	13355	13262
577	13378	13239
578	13412	13226
579	13438	13206
580	13468	13190
581	13497	13172
582	13520	13149
583	13541	13123
584	13562	13099
585	13584	13074
586	13621	13064
587	13652	13048
588	13685	13034
589	13721	13023
590	13746	13002
591	13767	12976
592	13796	12958
593	13843	12958
594	13871	12938
595	13901	12921
596	13926	12900
597	13964	12890
598	14004	12882
599	14032	12862
600	14060	12844
601	14091	12827
602	14127	12815
603	14158	12798
604	14199	12791
605	14231	12775
606	14296	12789
607	14330	12775
608	14374	12769
609	14425	12770
610	14450	12747
611	14471	12721
612	14499	12701
613	14522	12677
614	14560	12666
615	14606	12662
616	14643	12649
617	14669	12628
618	14709	12618
619	14746	12605
620	14785	12595
621	14813	12574
622	14847	12559
623	14871	12536
624	14899	12515
625	14917	12486
626	14944	12466
627	14972	12445
628	15004	12427
629	15031	12407
630	15057	12385
631	15083	12363
632	15108	12339
633	15137	12320
634	15164	12298
635	15193	12279
636	15219	12256
637	15238	12229
638	15261	12204
639	15280	12176
640	15301	12150
641	15321	12123
642	15346	12100
643	15375	12080
644	15404	12060
645	15424	12033
646	15449	12011
647	15475	11988
648	15502	11966
649	15519	11937
650	15539	11911
651	15558	11883
652	15580	11858
653	15608	11837
654	15637	11817
655	15666	11797
656	15692	11775
657	15713	11749
658	15742	11729
659	15766	11705
660	15791	11682
661	15822	11663
662	15846	11639
663	15868	11614
664	15890	11589
665	15910	11562
666	15933	11538
667	15957	11513
668	15976	11486
669	15996	11460
670	16016	11433
671	16043	11412
672	16071	11391
673	16101	11371
674	16132	11352
675	16150	11324
676	16174	11300
677	16206	11282
678	16232	11260
679	16262	11240
680	16293	11221
681	16314	11195
682	16335	11169
683	16353	11141
684	16372	11113
685	16391	11087
686	16411	11060
687	16439	11039
688	16466	11017
689	16494	10996
690	16522	10974
691	16542	10948
692	16565	10924
693	16602	10908
694	16623	10882
695	16646	10858
696	16674	10837
697	16703	10816
698	16734	10797
699	16756	10772
700	16778	10747
701	16798	10720
702	16825	10698
703	16854	10677
704	16883	10657
705	16909	10634
706	16936	10612
707	16957	10586
708	16977	10559
709	16996	10533
710	17010	10503
711	17030	10476
712	17048	10449
713	17074	10426
714	17100	10403
715	17130	10383
716	17162	10364
717	17190	10343
718	17214	10319
719	17248	10300
720	17279	10281
721	17308	10260
722	17336	10238
723	17355	10211
724	17374	10184
725	17393	10158
726	17414	10132
727	17432	10105
728	17454	10079
729	17478	10056
730	17503	10033
731	17533	10012
732	17561	9990
733	17588	9968
734	17609	9942
735	17634	9919
736	17657	9894
737	17678	9869
738	17710	9849
739	17737	9827
740	17757	9801
741	17779	9776
742	17798	9749
743	17817	9722
744	17834	9695
745	17853	9668
746	17877	9644
747	17900	9620
748	17929	9599
749	17960	9579
750	17985	9555
751	18007	9530
752	18029	9505
753	18053	9481
754	18074	9456
755	18093	9429
756	18114	9404
757	18141	9382
758	18169	9360
759	18198	9338
760	18217	9312
761	18246	9291
762	18267	9265
763	18291	9241
764	18323	9221
765	18350	9198
766	18377	9176
767	18404	9154
768	18425	9128
769	18444	9102
770	18470	9079
771	18493	9054
772	18519	9032
773	18548	9010
774	18568	8984
775	18588	8958
776	18607	8932
777	18629	8907
778	18648	8881
779	18669	8855
780	18691	8831
781	18720	8809
782	18744	8785
783	18765	8760
784	18789	8736
785	18818	8714
786	18839	8689
787	18857	8662
788	18876	8636
789	18896	8611
790	18915	8585
791	18943	8562
792	18975	8542
793	19006	8521
794	19034	8499
795	19056	8474
796	19074	8448
797	19104	8427
798	19131	8404
799	19157	8381
800	19189	8361
801	19232	8345
802	19262	8323
803	19287	8300
