TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,VISIT_AREA_ID,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
a_a006728,지혜의숲,경기도,파주시,3.0,4.0,4.0,4.0,60.0,1,2210100004.0,a006728,6,남,40,9,5,4,4,5,5,5,5,5,6.0,1,3
a_a010544,행주산성,경기도,고양시,2.0,4.0,4.0,4.0,60.0,1,2211010004.0,a010544,1,남,40,5,2,5,2,6,3,3,2,6,1.0,4,0
a_a001405,쁘띠프랑스,경기도,가평군,6.0,5.0,5.0,5.0,120.0,0,2208280001.0,a001405,9,여,30,4,2,1,3,4,1,2,6,3,3.0,4,1
a_a001405,자라섬,경기도,가평군,8.0,5.0,5.0,5.0,180.0,0,2208270007.0,a001405,9,여,30,4,2,1,3,4,1,2,6,3,3.0,4,1
a_a005503,서울숲,서울특별시,성동구,1.0,4.0,5.0,5.0,90.0,0,2210080004.0,a005503,1,여,20,4,3,3,2,4,3,4,5,4,7.0,5,1
a_a001129,청계광장,서울특별시,중구,1.0,4.0,4.0,4.0,120.0,1,2208280004.0,a001129,22,여,30,4,3,3,5,2,3,2,2,6,2.0,2,1
a_a018209,검단산,경기도,하남시,7.0,4.0,3.0,4.0,90.0,0,2211120002.0,a018209,11,여,30,4,3,5,3,4,5,3,6,3,1.0,2,1
a_a006101,석촌호수산책길,서울특별시,송파구,7.0,4.0,4.0,4.0,60.0,1,2210300004.0,a006101,23,남,30,6,2,1,2,3,3,3,3,2,3.0,2,1
a_a006101,석촌호수산책길,서울특별시,송파구,7.0,4.0,4.0,4.0,60.0,1,2210290007.0,a006101,23,남,30,6,2,1,2,3,3,3,3,2,3.0,2,1
a_a000277,덕수궁돌담길,서울특별시,중구,1.0,5.0,5.0,5.0,30.0,0,2208190005.0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a000277,CGV 용산아이파크몰,서울특별시,용산구,3.0,5.0,5.0,5.0,180.0,0,2208200004.0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a000277,서울우리소리박물관,서울특별시,종로구,2.0,5.0,5.0,5.0,30.0,0,2208200001.0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a000277,창덕궁,서울특별시,종로구,2.0,5.0,5.0,5.0,30.0,0,2208200002.0,a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1
a_a004431,뚝섬한강공원,서울특별시,광진구,7.0,5.0,5.0,5.0,60.0,0,2209300006.0,a004431,22,여,20,2,3,3,2,3,2,2,4,7,4.0,1,1
a_a004431,뚝섬한강공원,서울특별시,광진구,13.0,5.0,5.0,5.0,60.0,0,2209300005.0,a004431,22,여,20,2,3,3,2,3,2,2,4,7,4.0,1,1
a_a003282,테르메덴,경기도,이천시,6.0,4.0,4.0,4.0,570.0,0,2210090002.0,a003282,10,여,30,7,1,4,2,5,4,4,3,5,2.0,1,4
a_a000980,광교호수공원,경기도,수원시,1.0,4.0,4.0,4.0,60.0,1,2208240006.0,a000980,5,여,30,5,1,2,2,2,6,6,5,5,7.0,1,1
a_a010475,월미도,인천광역시,중구,1.0,5.0,4.0,4.0,150.0,1,2210210004.0,a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1
a_a010475,송도센트럴파크,인천광역시,연수구,7.0,5.0,4.0,4.0,90.0,0,2210220003.0,a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1
