TRAVEL_ID,recommend_result_place
a_a006728,"['임진각관광지', '마장호수', '헤이리무장애노을숲길', '파주출판도시', '잇츠콜라박물관', '헤이리예술마을', '콩치노 콩크리트', '지혜의숲', '퍼스트가든', '마장호수출렁다리']"
a_a010544,"['킨텍스 제2전시장', '정발산', '고양어린이박물관', '중남미문화원', '일산호수공원', '킨텍스 제1전시장', '행주산성역사공원', '현대모터스튜디오 고양', '창릉천', '고양시선인장전시관']"
a_a001405,"['국립유명산자연휴양림', '경반계곡', '경강교 인증센터', '용추폭포', '아침고요수목원', '가평레일파크', '자라섬 남도', '보야지투자라섬', '자라섬 꽃테마공원', '에델바이스 스위스 테마파크']"
a_a005503,"['메가박스 성수', '그라운드시소 성수', '서울숲', '아더 스페이스 2.0 플래그십 스토어', '두부마을']"
a_a001129,"['백범광장', '충무아트센터 대극장', '국립현대미술관 덕수궁관', '덕수궁', '천주교서울대교구 주교좌 명동대성당', '환구단', '청계광장', '숭례문', '문화역서울284', '남산골한옥마을']"
a_a018209,"['아쿠아필드 하남', '미사경정공원', '검단산', '오즈의마법사테마공원', '광주향교', '하남나무고아원', '하남역사박물관', '미사호수공원', '하남유니온파크']"
a_a006101,"['롯데호텔월드', '롯데월드 샤롯데씨어터', '롯데월드 어드벤처', '롯데시네마 월드타워', '롯데월드타워', '올림픽공원 88잔디마당', '서울스카이', '올림픽공원', '롯데월드아쿠아리움', '송파나루공원']"
a_a000277,"['창덕궁 돈화문', '어둠속의대화', '국립중앙박물관', '백범광장', '창덕궁 후원', '남산', '조계사', '유니플렉스', '용산가족공원', '흥인지문공원']"
a_a004431,"['비스타워커힐 서울', '뚝섬한강공원', '빛의시어터', '서울어린이대공원', '그랜드워커힐서울', '서울어린이대공원 동물원']"
a_a003282,"['덕평공룡수목원', '테르메덴 실외온천풀', '예스파크 이천도자예술마을', '설봉공원', '시몬스 테라스점', '예스파크', '이천시립박물관', '이천시립월전미술관', '테르메덴', '이천도자기축제']"
a_a000980,"['수원시립 아이파크미술관', '수원화성 연무대 관광안내소', '경수갤러리', '플라잉수원', '수원탑동시민농장', '광교호수공원', '서울대학교 수원수목원', '만석공원', '화서공원', '방화수류정']"
a_a010475,"['소무의도', '선녀바위', '영종씨사이드 레일바이크', '인천광역시교육청교육과학정보원 인천학생과학관', '쉐라톤그랜드 인천호텔 6층 수영장', '인천내리교회', '월미공원', 'CGV 인천연수', '파라다이스시티 씨메르', '월미산']"
a_a006278,"['선유도공원', '양화한강공원', '난지한강공원', '더현대서울', '하늘공원', '망원한강공원', '홍익대학교 서울캠퍼스', '여의도한강공원', '여의도공원', '63스퀘어']"
