SIDO,VISIT_AREA_NM,GUNGU,VISIT_AREA_TYPE_CD,VISIT_AREA_ID,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
인천광역시,플로망스 수영장,강화군,6.0,2208200002.0,420.0,4.0,1.0,5.0,5.0
인천광역시,조양방직,강화군,13.0,2208190002.0,45.0,4.25,0.0,1.75,4.25
인천광역시,보문사,강화군,2.0,2208190004.0,64.61538461538461,4.153846153846154,0.1538461538461538,1.0,3.923076923076923
경기도,수원전통문화관 예절교육관,수원시,3.0,2208090004.0,60.0,2.333333333333333,0.3333333333333333,0.3333333333333333,2.333333333333333
경기도,행궁동벽화마을,수원시,7.0,2208090005.0,30.0,3.25,0.0,0.875,3.125
경기도,장안공원 화서문,수원시,2.0,2208110002.0,45.0,4.5,0.0,0.0,4.5
경기도,수원팔색길 화성성곽길,수원시,2.0,2208100002.0,76.66666666666667,4.444444444444445,0.3333333333333333,0.2222222222222222,4.444444444444445
경기도,수원화성박물관,수원시,2.0,2208090006.0,57.69230769230769,4.0,0.0769230769230769,0.7692307692307693,3.615384615384616
경기도,팔달문,수원시,2.0,2208100005.0,30.0,2.5,0.5,0.0,2.5
경기도,만석공원 만석거,수원시,1.0,2208100007.0,30.0,4.0,0.0,0.0,4.0
경기도,서장대,수원시,2.0,2208110001.0,30.0,4.0,0.0,0.0,4.0
경기도,아쿠아플라넷 광교,수원시,6.0,2208110006.0,70.0,3.6666666666666665,0.0,0.6666666666666666,2.6666666666666665
경기도,화성행궁,수원시,2.0,2208100001.0,60.0,4.235294117647059,0.2549019607843137,0.6862745098039216,4.019607843137255
인천광역시,송도달빛축제공원,연수구,8.0,2208060008.0,168.0,4.2,0.0,4.8,3.6
인천광역시,해찬솔공원,연수구,1.0,2208070001.0,30.0,4.0,0.0,6.0,4.0
서울특별시,서울식물원,강서구,6.0,2209030002.0,76.66666666666667,4.444444444444445,0.3333333333333333,0.8888888888888888,4.333333333333333
서울특별시,도림천,관악구,7.0,2209030006.0,60.0,3.0,0.0,1.0,3.0
서울특별시,잠실종합운동장,송파구,13.0,2208140002.0,540.0,5.0,1.0,1.0,5.0
서울특별시,광화문광장,종로구,2.0,2208170005.0,53.07692307692308,4.423076923076923,0.6153846153846154,1.0384615384615383,4.307692307692308
서울특별시,북촌한옥마을,종로구,7.0,2208170006.0,53.333333333333336,4.111111111111111,0.3888888888888889,0.5555555555555556,3.8333333333333335
서울특별시,서대문형무소역사관,서대문구,2.0,2208170007.0,90.0,4.571428571428571,0.1428571428571428,2.857142857142857,4.285714285714286
서울특별시,경복궁,종로구,2.0,2208170004.0,81.0,4.675,0.575,1.25,4.55
서울특별시,청와대 본관,종로구,2.0,2208170003.0,71.53846153846153,4.076923076923077,0.0769230769230769,1.5384615384615383,3.5384615384615383
서울특별시,서울스카이,송파구,3.0,2208170010.0,172.5,4.5,0.0,3.25,4.0
인천광역시,인천상륙작전기념관,연수구,2.0,2208190005.0,30.0,3.0,0.0,1.5,2.5
경기도,방화수류정,수원시,1.0,2208190003.0,49.09090909090909,4.681818181818182,0.1818181818181818,0.8181818181818182,4.454545454545454
인천광역시,인천도시역사관,연수구,2.0,2208190006.0,35.0,3.6666666666666665,0.0,1.3333333333333333,3.1666666666666665
경기도,낙천지,포천시,1.0,2208120005.0,30.0,2.0,0.0,1.0,1.0
경기도,백운계곡관광지,포천시,1.0,2208120006.0,120.0,5.0,1.0,1.0,5.0
경기도,포천 가람누리  문화공원,포천시,1.0,2208120003.0,30.0,4.0,0.0,1.0,4.0
경기도,이스케이프9 본사,부천시,13.0,2208070003.0,60.0,3.0,0.0,1.0,2.0
서울특별시,메트로폴리탄수영장,강남구,6.0,2208140006.0,60.0,3.0,0.0,1.0,3.0
서울특별시,여의도한강공원,영등포구,1.0,2208130002.0,118.92857142857144,4.392857142857143,0.4642857142857143,0.7857142857142857,4.5
서울특별시,한국은행 본부,중구,3.0,2208060003.0,30.0,3.5,0.0,2.0,3.5
서울특별시,청와대 영빈관,종로구,2.0,2208070001.0,45.0,3.5,0.0,4.0,3.0
서울특별시,롯데월드,송파구,6.0,2208060001.0,340.7142857142857,4.214285714285714,0.6428571428571429,2.571428571428572,4.285714285714286
