TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
a_a006728,6,남,40,9,5,4,4,5,5,5,5,5,6.0,1,3,['경기도+파주시']
a_a010544,1,남,40,5,2,5,2,6,3,3,2,6,1.0,4,0,['경기도+고양시']
a_a001405,9,여,30,4,2,1,3,4,1,2,6,3,3.0,4,1,['경기도+가평군']
a_a005503,1,여,20,4,3,3,2,4,3,4,5,4,7.0,5,1,['서울특별시+성동구']
a_a001129,22,여,30,4,3,3,5,2,3,2,2,6,2.0,2,1,['서울특별시+중구']
a_a018209,11,여,30,4,3,5,3,4,5,3,6,3,1.0,2,1,['경기도+하남시']
a_a006101,23,남,30,6,2,1,2,3,3,3,3,2,3.0,2,1,['서울특별시+송파구']
a_a000277,22,여,20,4,4,7,1,5,6,1,6,7,1.0,3,1,"['서울특별시+용산구', '서울특별시+중구', '서울특별시+종로구']"
a_a004431,22,여,20,2,3,3,2,3,2,2,4,7,4.0,1,1,['서울특별시+광진구']
a_a003282,10,여,30,7,1,4,2,5,4,4,3,5,2.0,1,4,['경기도+이천시']
a_a000980,5,여,30,5,1,2,2,2,6,6,5,5,7.0,1,1,['경기도+수원시']
a_a010475,1,여,30,5,2,2,2,3,6,2,7,2,1.0,4,1,"['인천광역시+연수구', '인천광역시+중구']"
a_a006278,9,남,20,7,1,2,2,5,6,4,5,7,7.0,6,0,"['서울특별시+마포구', '서울특별시+영등포구']"
a_a000618,6,여,30,4,7,2,7,1,1,7,1,7,3.0,1,1,"['서울특별시+용산구', '서울특별시+중구']"
a_a004497,1,남,20,3,2,2,2,3,5,4,6,7,2.0,1,1,['경기도+광주시']
a_a005182,4,남,20,4,4,2,1,5,2,3,4,4,2.0,10,0,['서울특별시+종로구']
a_a004399,3,남,40,5,2,2,1,6,6,6,7,7,3.0,3,3,"['경기도+의왕시', '경기도+수원시']"
a_a002761,3,남,40,4,3,1,2,3,7,4,2,7,2.0,2,1,"['경기도+가평군', '강원도+춘천시']"
a_a001244,1,여,20,6,2,1,1,1,6,7,1,7,4.0,2,2,"['충청북도+제천시', '강원도+원주시']"
a_a002245,3,여,20,4,4,6,2,3,4,4,2,2,2.0,4,0,['서울특별시+종로구']
a_a007884,2,여,20,1,3,3,4,3,3,4,3,3,3.0,2,1,['경기도+용인시']
a_a001226,6,여,30,4,3,2,3,6,4,3,7,1,8.0,4,0,['인천광역시+중구']
a_a005324,21,여,60,5,2,4,6,1,1,7,1,7,1.0,4,1,['서울특별시+용산구']
a_a002737,2,남,50,7,3,2,1,4,6,5,2,4,3.0,1,1,"['경기도+동두천시', '경기도+양주시']"
a_a002410,23,여,50,4,4,6,3,5,5,3,3,5,3.0,1,3,['인천광역시+중구']
a_a009817,1,남,60,5,4,4,4,4,4,4,4,4,2.0,6,1,['서울특별시+종로구']
a_a001264,23,남,30,5,6,4,3,3,5,5,3,3,2.0,2,1,['서울특별시+종로구']
a_a006562,2,남,60,4,3,4,7,2,2,4,4,4,6.0,1,2,"['경기도+수원시', '경기도+광주시']"
a_a005139,1,남,20,2,4,2,4,4,5,6,5,6,7.0,2,0,['서울특별시+송파구']
a_a006750,6,여,50,1,1,7,1,4,7,4,3,7,3.0,2,1,['경기도+연천군']
a_a014948,7,여,20,4,2,7,1,5,7,6,3,3,7.0,2,2,"['서울특별시+송파구', '서울특별시+마포구', '서울특별시+종로구']"
a_a000056,3,여,50,6,6,4,3,4,4,4,2,2,1.0,1,0,['경기도+수원시']
a_a015245,1,여,30,4,4,3,4,1,2,3,6,5,10.0,5,0,['경기도+용인시']
a_a004767,2,여,30,5,1,4,2,4,2,1,1,6,3.0,4,3,['경기도+용인시']
a_a018006,1,여,30,5,2,4,6,5,2,2,2,6,1.0,6,0,['서울특별시+중구']
a_a000018,8,여,40,4,2,2,2,5,3,1,3,4,1.0,1,3,['경기도+포천시']
a_a006026,1,여,20,8,6,3,4,5,5,3,6,6,5.0,2,1,['경기도+파주시']
a_a007894,3,여,20,4,2,1,1,2,6,6,2,6,1.0,1,0,['경기도+수원시']
a_a015109,6,여,20,5,2,4,2,2,4,2,2,6,2.0,1,0,['경기도+수원시']
a_a007194,4,여,30,4,4,1,1,1,1,1,1,3,1.0,2,1,['경기도+안양시']
a_a005302,1,여,50,4,1,1,6,1,1,4,4,4,1.0,4,1,['서울특별시+영등포구']
a_a002004,2,남,20,4,2,4,1,6,4,3,6,3,3.0,2,4,['경기도+안성시']
a_a002652,2,여,30,4,4,4,2,1,4,3,2,5,2.0,4,1,['경기도+용인시']
a_a005705,22,여,30,4,1,1,1,3,3,1,6,6,3.0,1,3,['서울특별시+용산구']
a_a001927,4,여,20,1,5,7,2,4,3,4,7,2,8.0,5,1,"['서울특별시+용산구', '서울특별시+중구']"
a_a004683,3,남,40,7,1,1,3,5,2,5,5,5,8.0,1,4,['경기도+수원시']
a_a018147,25,여,60,3,1,4,1,2,3,1,4,6,1.0,2,2,['경기도+시흥시']
a_a005095,11,여,40,4,7,1,1,1,4,7,1,4,7.0,1,2,['서울특별시+종로구']
a_a002219,13,남,40,5,6,5,6,5,6,4,3,3,1.0,1,0,['서울특별시+종로구']
a_a000407,1,남,30,4,5,5,3,5,5,5,5,3,1.0,1,2,"['서울특별시+용산구', '서울특별시+성동구', '경기도+용인시', '서울특별시+종로구']"
a_a005397,22,여,30,1,1,1,1,4,4,4,1,7,7.0,3,1,['경기도+파주시']
a_a007866,3,여,30,5,1,2,1,6,1,3,2,3,1.0,1,0,['경기도+수원시']
a_a000030,6,남,20,1,3,2,1,6,6,1,7,6,9.0,1,3,"['경기도+수원시', '인천광역시+연수구']"
a_a001998,12,남,20,1,4,2,2,3,4,4,5,3,3.0,1,1,['경기도+수원시']
a_a007658,6,남,20,1,4,4,1,4,7,4,1,7,7.0,3,1,['서울특별시+성동구']
a_a006134,2,여,40,4,4,5,5,6,6,5,4,5,1.0,3,4,['경기도+용인시']
a_a007924,27,남,30,9,2,2,2,3,3,3,4,3,3.0,2,2,['경기도+파주시']
a_a002276,2,여,30,4,1,1,1,5,7,5,1,7,5.0,2,2,['경기도+안성시']
b_b006351,22,여,30,4,2,2,3,3,6,2,2,6,1.0,10,0,['경기도+수원시']
a_a003274,5,여,20,2,2,1,6,5,2,6,6,6,1.0,1,1,['경기도+고양시']
a_a000573,23,여,20,2,4,3,5,3,1,3,3,2,3.0,4,1,['경기도+수원시']
a_a006020,1,남,30,7,4,1,4,1,3,4,2,4,1.0,1,2,['경기도+파주시']
a_a002830,9,남,30,2,1,1,1,1,4,1,5,4,8.0,2,2,['인천광역시+중구']
a_a002239,23,남,20,4,7,1,7,2,1,2,1,3,1.0,5,0,"['서울특별시+송파구', '서울특별시+용산구']"
a_a003135,2,여,30,6,3,2,2,3,3,4,5,4,3.0,2,2,"['충청북도+충주시', '경기도+광주시']"
a_a003449,4,여,20,4,4,2,2,3,6,6,3,5,3.0,2,1,"['서울특별시+종로구', '경기도+가평군', '서울특별시+중구', '서울특별시+영등포구']"
a_a003822,22,여,30,4,3,6,1,1,5,6,2,3,1.0,3,0,['경기도+남양주시']
a_a005258,21,남,30,6,4,2,5,2,6,6,6,6,2.0,4,1,['경기도+광주시']
a_a001702,21,여,30,4,2,2,2,3,4,2,3,7,2.0,4,4,"['강원도+철원군', '경기도+포천시']"
a_a017555,3,여,30,4,5,1,3,4,5,3,5,4,8.0,6,2,['경기도+김포시']
a_a000104,1,여,20,1,7,1,6,3,6,6,3,3,1.0,1,3,"['서울특별시+강남구', '서울특별시+송파구']"
a_a004771,3,남,40,6,2,1,6,2,1,3,1,2,1.0,6,0,['경기도+김포시']
a_a003309,5,여,40,4,1,7,5,5,1,5,1,7,6.0,4,0,['경기도+화성시']
a_a011873,3,여,20,2,3,3,6,5,7,6,6,5,2.0,2,0,['서울특별시+종로구']
a_a003144,25,여,20,2,2,2,2,1,2,2,1,6,7.0,2,1,['서울특별시+송파구']
a_a008052,6,여,40,9,3,4,3,4,4,3,3,6,5.0,1,0,['서울특별시+송파구']
a_a001736,24,여,30,5,5,4,3,6,6,5,4,2,2.0,1,2,['경기도+하남시']
a_a004915,21,여,40,7,3,5,1,3,3,1,5,1,6.0,1,0,['경기도+고양시']
a_a007144,21,여,30,5,4,1,1,3,4,3,6,1,4.0,5,0,['인천광역시+중구']
a_a010137,3,남,20,4,2,3,3,4,4,3,3,7,1.0,3,0,['서울특별시+중구']
a_a008616,21,여,30,4,2,2,5,3,2,1,2,6,2.0,5,0,"['경기도+이천시', '경기도+양평군']"
a_a004227,22,남,20,3,5,1,1,3,4,1,1,4,2.0,4,0,"['서울특별시+송파구', '서울특별시+성동구']"
a_a007378,5,여,20,5,2,1,2,4,4,4,3,6,6.0,3,3,['서울특별시+영등포구']
a_a002378,2,남,20,7,6,3,5,7,6,6,5,5,7.0,2,0,"['경기도+용인시', '서울특별시+마포구']"
a_a006001,3,여,40,4,4,4,4,4,4,4,4,4,8.0,1,1,['경기도+고양시']
a_a006545,1,남,20,2,6,1,1,5,4,4,3,7,3.0,1,1,['서울특별시+종로구']
a_a005644,6,남,60,4,4,3,5,5,4,3,5,3,8.0,4,0,['경기도+수원시']
a_a004970,11,여,30,6,1,1,1,6,6,2,6,2,7.0,1,2,['경기도+의왕시']
a_a002019,23,여,20,1,4,3,4,2,3,4,3,5,2.0,1,0,['서울특별시+마포구']
a_a007727,1,남,40,5,5,1,2,3,5,3,2,4,2.0,1,0,['경기도+파주시']
a_a000975,1,남,30,4,4,5,3,3,4,4,3,4,7.0,3,3,['서울특별시+종로구']
